timeFrom,timeTo,name,group,description
1997-09-18,2002-11-08,江泽民2期<br>（朱镕基国企改革）,Fact,
2002-11-14,2007-10-21,中共16大后-胡温1期,Fact,
2007-10-25,2012-11-14,中共17大后-胡温2期<br>（重庆模式vs广东模式）,Fact,
2012-11-14,2017-10-24,中共18大后-习近平1期<br>（“打老虎”倒薄周令徐郭）,Fact,
2017-10-25,2022-11-24,中共19大后-习近平2期,Fact,
